Runs,Ball faced,Average,Strike rate,Highest Score,4s,6s,50,100,Training modle
343,556,26.38,61.69,84,38,0,2,0,Experience and Control
236,260,39.33,90.77,97,20,4,2,0,General Training
28,65,5.6,43.08,16,2,0,0,0,General Training
70,87,11.67,80.46,23,1,5,0,0,General Training
248,357,20.67,69.47,64,20,7,1,0,General Training
332,459,47.43,72.33,71,30,1,3,0,Consistent Batting Techniques
25,45,25,55.56,16,1,0,0,0,General Training
9,9,4.5,100,8,2,0,0,0,General Training
9,46,4.5,19.57,8,1,0,0,0,General Training
25,29,25,86.21,25,3,0,0,0,General Training
7,5,7,140,6,0,1,0,0,General Training
515,552,103,93.3,143,51,10,3,1,Advanced Scoring Strategies
49,63,12.25,77.78,29,5,0,0,0,General Training
83,101,27.67,82.18,58,7,2,1,0,Fundamentals and Basics
43,65,14.33,66.15,23,4,2,0,0,General Training
37,23,18.5,160.87,35,7,0,0,0,General Training
10,27,5,37.04,10,0,0,0,0,General Training
1207,1029,63.53,117.3,162,121,37,6,4,Advanced Scoring Strategies
203,273,22.56,74.36,62,23,0,1,0,Fundamentals and Basics
336,361,42,93.07,113,36,9,3,1,Advanced Scoring Strategies
44,88,4.89,50,15,3,0,0,0,General Training
6,13,6,46.15,5,0,0,0,0,General Training
84,174,10.5,48.28,28,4,1,0,0,General Training
10,11,10,90.91,9,1,0,0,0,General Training
38,57,19,66.67,28,5,0,0,0,General Training
861,823,43.05,104.62,149,114,17,6,1,Advanced Scoring Strategies
64,67,32,95.52,37,7,2,0,0,General Training
584,699,34.35,83.55,113,45,13,2,1,Experience and Control
192,143,19.2,134.27,49,12,15,0,0,Power Hitting Skills
10,34,3.33,29.41,8,1,0,0,0,General Training
7,25,7,28,7,0,0,0,0,General Training
26,32,13,81.25,26,4,0,0,0,General Training
19,30,9.5,63.33,17,0,1,0,0,General Training
1,5,1,20,1,0,0,0,0,General Training
20,60,6.67,33.33,13,0,1,0,0,General Training
36,99,6,36.36,19,1,0,0,0,General Training
128,151,14.22,84.77,35,12,3,0,0,Fundamentals and Basics
28,24,9.33,116.67,14,5,1,0,0,General Training
99,144,33,68.75,37,8,0,0,0,Fundamentals and Basics
107,136,21.4,78.68,47,8,1,0,0,Fundamentals and Basics
51,45,51,113.33,51,6,1,1,0,General Training
271,404,22.58,67.08,93,31,1,2,0,Fundamentals and Basics
117,140,117,83.57,64,10,3,1,0,Fundamentals and Basics
199,198,33.17,100.51,85,25,3,1,0,General Training
787,801,43.72,98.25,153,73,24,4,3,Advanced Scoring Strategies
50,49,16.67,102.04,22,3,1,0,0,General Training
0,2,0,0,0,0,0,0,0,General Training
136,204,34,66.67,60,11,1,1,0,Consistent Batting Techniques
417,483,37.91,86.34,158,39,5,1,1,General Training
546,552,36.4,98.91,106,61,10,3,1,Advanced Scoring Strategies
13,38,13,34.21,13,0,0,0,0,General Training
172,193,43,89.12,46,17,5,0,0,General Training
38,69,7.6,55.07,14,5,1,0,0,General Training
62,99,15.5,62.63,32,4,1,0,0,General Training
123,89,20.5,138.2,58,15,2,2,0,General Training
14,26,0,53.85,10,1,0,0,0,General Training
208,252,34.67,82.54,79,21,3,1,0,Fundamentals and Basics
72,133,18,54.14,36,7,1,0,0,General Training
96,185,16,51.89,45,11,0,0,0,General Training
170,195,34,87.18,56,21,4,1,0,General Training
98,180,12.25,54.44,18,12,0,0,0,General Training
58,98,29,59.18,29,5,1,0,0,General Training
21,45,7,46.67,14,2,0,0,0,General Training
90,76,22.5,118.42,36,6,6,0,0,Power Hitting Skills
53,111,8.83,47.75,22,7,0,0,0,General Training
25,57,25,43.86,13,2,0,0,0,General Training
99,127,19.8,77.95,47,8,1,0,0,Fundamentals and Basics
2,4,0,50,2,0,0,0,0,General Training
20,26,20,76.92,19,4,0,0,0,General Training
143,210,14.3,68.1,38,14,0,0,0,Fundamentals and Basics
3,3,0,100,3,0,0,0,0,General Training
215,373,43,57.64,70,16,5,2,0,Consistent Batting Techniques
154,217,77,70.97,78,14,0,1,0,Consistent Batting Techniques
226,272,20.55,83.09,54,19,6,1,0,General Training
19,19,9.5,100,14,0,1,0,0,General Training
375,362,53.57,103.59,85,46,2,3,0,Advanced Scoring Strategies
164,167,27.33,98.2,54,11,10,1,0,Power Hitting Skills
137,128,15.22,107.03,25,11,3,0,0,General Training
0,2,0,0,0,0,0,0,0,General Training
2,21,2,9.52,2,0,0,0,0,General Training
353,361,70.6,97.78,97,26,13,3,0,Advanced Scoring Strategies
2,4,1,50,2,0,0,0,0,General Training
28,43,9.33,65.12,15,1,2,0,0,General Training
105,235,8.75,44.68,43,9,2,0,0,General Training
3,11,1.5,27.27,2,0,0,0,0,General Training
769,840,59.15,91.55,108,64,23,7,1,Advanced Scoring Strategies
0,3,0,0,0,0,0,0,0,General Training
794,926,52.93,85.75,101,82,6,7,1,Advanced Scoring Strategies
0,2,0,0,0,0,0,0,0,General Training
742,614,33.73,120.85,101,77,29,6,1,Power Hitting Skills
4,13,4,30.77,4,0,0,0,0,General Training
517,636,39.77,81.29,116,44,12,2,1,Advanced Scoring Strategies
139,199,15.44,69.85,67,15,2,1,0,Fundamentals and Basics
458,501,50.89,91.42,88,56,9,4,0,Advanced Scoring Strategies
152,117,76,129.91,123,11,7,0,1,Power Hitting Skills
56,116,11.2,48.28,32,9,0,0,0,General Training
437,471,27.31,92.78,122,35,17,1,1,Power Hitting Skills
27,51,9,52.94,24,3,0,0,0,General Training
32,72,8,44.44,18,2,1,0,0,General Training
26,38,26,68.42,17,3,0,0,0,General Training
8,12,8,66.67,8,1,0,0,0,General Training
6,8,3,75,6,0,1,0,0,General Training
690,778,46,88.69,138,68,14,3,2,Advanced Scoring Strategies
190,189,23.75,100.53,64,16,4,2,0,General Training
63,83,21,75.9,47,6,0,0,0,Fundamentals and Basics
8,28,4,28.57,6,1,0,0,0,General Training
125,128,25,97.66,58,17,2,1,0,General Training
79,81,26.33,97.53,35,6,0,0,0,General Training
46,43,46,106.98,46,7,0,0,0,General Training
52,57,13,91.23,33,6,1,0,0,General Training
7,31,1.75,22.58,3,0,0,0,0,General Training
293,343,48.83,85.42,172,33,3,0,1,General Training
4,8,4,50,4,1,0,0,0,General Training
22,23,11,95.65,12,0,2,0,0,General Training
353,419,27.15,84.25,75,28,12,2,0,General Training
1186,1310,35.94,90.53,215,116,49,6,2,Advanced Scoring Strategies
74,61,24.67,121.31,42,4,3,0,0,General Training
231,213,33,108.45,75,22,9,2,0,Power Hitting Skills
125,217,17.86,57.6,64,19,0,1,0,General Training
0,1,0,0,0,0,0,0,0,General Training
0,5,0,0,0,0,0,0,0,General Training
85,129,28.33,65.89,51,13,0,1,0,Fundamentals and Basics
18,36,6,50,14,1,1,0,0,General Training
3,8,1.5,37.5,2,0,0,0,0,General Training
16,57,5.33,28.07,9,1,0,0,0,General Training
223,273,37.17,81.68,54,15,6,1,0,General Training
99,124,19.8,79.84,45,3,1,0,0,General Training
70,113,17.5,61.95,22,4,0,0,0,General Training
5,28,2.5,17.86,4,0,0,0,0,General Training
216,263,24,82.13,69,27,0,1,0,Fundamentals and Basics
362,528,27.85,68.56,98,27,9,2,0,Experience and Control
154,145,30.8,106.21,101,13,8,0,1,Power Hitting Skills
390,449,32.5,86.86,85,36,8,4,0,Power Hitting Skills
355,398,19.72,89.2,51,30,5,1,0,General Training
33,42,11,78.57,13,5,0,0,0,General Training
48,63,8,76.19,22,8,0,0,0,Fundamentals and Basics
3,7,3,42.86,3,0,0,0,0,General Training
116,170,38.67,68.24,38,10,0,0,0,Fundamentals and Basics
6,15,6,40,6,1,0,0,0,General Training
13,24,0,54.17,9,1,0,0,0,General Training
132,219,22,60.27,52,11,0,1,0,General Training
67,72,16.75,93.06,18,6,2,0,0,General Training
28,67,14,41.79,19,4,0,0,0,General Training
120,209,20,57.42,42,8,1,0,0,General Training
3,6,1.5,50,2,0,0,0,0,General Training
191,245,19.1,77.96,52,20,0,2,0,Fundamentals and Basics
42,66,21,63.64,41,2,0,0,0,General Training
41,56,10.25,73.21,21,4,0,0,0,General Training
816,720,48,113.33,138,54,35,1,2,Advanced Scoring Strategies
48,64,16,75,23,4,2,0,0,General Training
1527,1505,56.56,101.46,178,154,41,5,6,Advanced Scoring Strategies
6,4,0,150,6,1,0,0,0,General Training
25,73,3.12,34.25,9,4,0,0,0,General Training
82,135,16.4,60.74,27,3,1,0,0,General Training
56,52,14,107.69,48,2,3,0,0,General Training
41,76,6.83,53.95,15,3,0,0,0,General Training
21,74,7,28.38,13,2,0,0,0,General Training
79,123,15.8,64.23,32,5,0,0,0,General Training
33,69,16.5,47.83,24,2,1,0,0,General Training
169,195,24.14,86.67,40,11,5,0,0,General Training
52,34,52,152.94,38,4,2,0,0,General Training
404,400,44.89,101,140,50,9,2,1,Advanced Scoring Strategies
552,497,69,111.07,134,48,22,2,2,Advanced Scoring Strategies
38,33,12.67,115.15,25,8,0,0,0,General Training
78,67,19.5,116.42,16,7,6,0,0,Power Hitting Skills
231,226,21,102.21,89,21,9,1,0,Power Hitting Skills
90,127,45,70.87,76,10,1,1,0,Fundamentals and Basics
167,199,15.18,83.92,44,20,1,0,0,Fundamentals and Basics
173,294,24.71,58.84,62,19,2,1,0,General Training
207,293,23,70.65,73,15,6,1,0,General Training
248,358,22.55,69.27,34,21,4,0,0,Fundamentals and Basics
12,18,4,66.67,10,1,0,0,0,General Training
81,189,9,42.86,51,6,0,1,0,General Training
372,366,41.33,101.64,152,54,4,0,1,General Training
998,1174,36.96,85.01,115,83,12,5,4,Advanced Scoring Strategies
64,102,32,62.75,45,6,0,0,0,General Training
95,162,19,58.64,28,8,3,0,0,General Training
323,395,64.6,81.77,88,21,2,4,0,Advanced Scoring Strategies
142,146,14.2,97.26,32,16,6,0,0,Power Hitting Skills
15,16,7.5,93.75,11,2,0,0,0,General Training
224,272,44.8,82.35,56,20,3,2,0,Fundamentals and Basics
399,536,39.9,74.44,107,42,2,3,1,Consistent Batting Techniques
3,26,1.5,11.54,2,0,0,0,0,General Training
171,190,19,90,30,12,6,0,0,Power Hitting Skills
45,73,11.25,61.64,20,7,0,0,0,General Training
235,261,23.5,90.04,38,20,8,0,0,Power Hitting Skills
131,161,26.2,81.37,70,12,4,2,0,Fundamentals and Basics
13,37,3.25,35.14,8,1,0,0,0,General Training
75,111,12.5,67.57,22,10,1,0,0,Fundamentals and Basics
574,735,33.76,78.1,112,55,7,4,1,Experience and Control
1,1,1,100,1,0,0,0,0,General Training
15,22,15,68.18,15,1,0,0,0,General Training
28,72,7,38.89,13,4,0,0,0,General Training
672,792,25.85,84.85,148,56,26,3,1,Experience and Control
81,151,16.2,53.64,28,9,1,0,0,General Training
74,36,20,205.56,64,5,4,1,0,General Training
926,1070,57.88,86.54,109,74,11,7,2,Advanced Scoring Strategies
9,24,4.5,37.5,9,0,0,0,0,General Training
51,33,25.5,154.55,51,7,1,1,0,General Training
406,406,36.91,100,126,38,21,2,1,Advanced Scoring Strategies
2,9,2,22.22,2,0,0,0,0,General Training
274,386,27.4,70.98,97,26,0,2,0,Fundamentals and Basics
77,97,25.67,79.38,70,7,0,1,0,Fundamentals and Basics
54,78,13.5,69.23,22,4,1,0,0,General Training
393,462,43.67,85.06,97,37,0,4,0,Advanced Scoring Strategies
186,217,62,85.71,69,24,2,3,0,Advanced Scoring Strategies
5,9,1.25,55.56,5,1,0,0,0,General Training
62,86,15.5,72.09,18,4,1,0,0,General Training
32,49,16,65.31,26,5,0,0,0,General Training
12,21,6,57.14,9,0,1,0,0,General Training
87,83,17.4,104.82,40,6,3,0,0,General Training
90,145,15,62.07,52,7,1,1,0,General Training
747,865,39.32,86.36,91,84,6,6,0,Advanced Scoring Strategies
263,281,26.3,93.59,80,28,5,2,0,General Training
310,294,44.29,105.44,84,29,7,2,0,Power Hitting Skills
3,2,0,150,3,0,0,0,0,General Training
285,255,40.71,111.76,71,22,14,2,0,Power Hitting Skills
88,129,29.33,68.22,41,15,0,0,0,Fundamentals and Basics
96,138,16,69.57,25,8,3,0,0,Fundamentals and Basics
55,69,55,79.71,55,3,0,1,0,General Training
901,562,47.42,160.32,201,94,43,2,3,Advanced Scoring Strategies
59,71,14.75,83.1,30,5,1,0,0,General Training
11,44,3.67,25,4,0,0,0,0,General Training
60,51,15,117.65,16,7,1,0,0,General Training
7,8,0,87.5,7,1,0,0,0,General Training
36,71,9,50.7,10,3,0,0,0,General Training
194,244,19.4,79.51,47,20,2,0,0,Fundamentals and Basics
177,225,35.4,78.67,78,14,2,1,0,Fundamentals and Basics
373,280,41.44,133.21,109,28,19,1,1,Power Hitting Skills
122,161,20.33,75.78,80,12,2,1,0,Fundamentals and Basics
7,19,1.75,36.84,4,0,0,0,0,General Training
85,80,42.5,106.25,54,10,4,1,0,General Training
5,23,0,21.74,4,0,0,0,0,General Training
105,238,10.5,44.12,32,5,0,0,0,General Training
53,110,7.57,48.18,16,6,1,0,0,General Training
34,60,11.33,56.67,25,6,0,0,0,General Training
93,113,10.33,82.3,28,8,3,0,0,Fundamentals and Basics
53,45,17.67,117.78,35,5,4,0,0,General Training
375,453,34.09,82.78,89,33,6,3,0,General Training
63,52,12.6,121.15,32,7,4,0,0,General Training
15,25,15,60,15,2,0,0,0,General Training
507,773,36.21,65.59,80,45,4,5,0,Consistent Batting Techniques
96,102,19.2,94.12,34,12,2,0,0,General Training
169,150,28.17,112.67,66,20,5,1,0,General Training
445,519,44.5,85.74,139,40,2,3,1,Advanced Scoring Strategies
759,874,54.21,86.84,133,53,18,5,2,Advanced Scoring Strategies
108,158,36,68.35,80,9,1,1,0,Fundamentals and Basics
726,754,72.6,96.29,143,72,24,6,1,Advanced Scoring Strategies
237,209,33.86,113.4,48,21,5,0,0,General Training
166,169,41.5,98.22,72,15,4,1,0,General Training
38,94,12.67,40.43,23,4,0,0,0,General Training
81,98,40.5,82.65,50,6,1,1,0,Fundamentals and Basics
24,53,8,45.28,19,3,0,0,0,General Training
0,4,0,0,0,0,0,0,0,General Training
3,12,3,25,3,0,0,0,0,General Training
842,1012,42.1,83.2,159,77,6,5,2,Advanced Scoring Strategies
91,149,22.75,61.07,55,8,0,1,0,General Training
17,19,17,89.47,17,0,2,0,0,General Training
17,29,17,58.62,13,2,0,0,0,General Training
178,305,35.6,58.36,81,18,0,1,0,Consistent Batting Techniques
54,79,18,68.35,17,6,0,0,0,Fundamentals and Basics
101,266,16.83,37.97,39,5,0,0,0,General Training
98,264,19.6,37.12,53,12,0,1,0,General Training
45,75,7.5,60,17,3,1,0,0,General Training
1,5,0.5,20,1,0,0,0,0,General Training
376,493,47,76.27,129,39,5,1,1,Fundamentals and Basics
38,30,38,126.67,22,6,0,0,0,General Training
26,62,26,41.94,20,1,0,0,0,General Training
142,123,23.67,115.45,40,11,8,0,0,Power Hitting Skills
51,77,25.5,66.23,32,2,2,0,0,General Training
11,32,3.67,34.38,11,2,0,0,0,General Training
66,86,22,76.74,28,9,0,0,0,Fundamentals and Basics
422,522,60.29,80.84,92,28,0,5,0,Advanced Scoring Strategies
231,347,33,66.57,86,17,3,2,0,Consistent Batting Techniques
162,138,54,117.39,49,20,1,0,0,General Training
467,580,33.36,80.52,100,55,1,2,1,Experience and Control
190,175,63.33,108.57,160,17,9,0,1,Power Hitting Skills
20,34,5,58.82,10,1,0,0,0,General Training
197,312,24.62,63.14,73,21,0,2,0,General Training
93,145,10.33,64.14,37,8,3,0,0,General Training
718,995,35.9,72.16,81,62,2,6,0,Consistent Batting Techniques
251,413,27.89,60.77,71,24,3,2,0,General Training
5,4,5,125,5,1,0,0,0,General Training
47,48,23.5,97.92,47,5,2,0,0,General Training
58,59,19.33,98.31,23,5,1,0,0,General Training
58,46,29,126.09,55,9,2,1,0,General Training
0,2,0,0,0,0,0,0,0,General Training
61,150,15.25,40.67,26,4,0,0,0,General Training
1,7,0.33,14.29,1,0,0,0,0,General Training
41,63,41,65.08,23,2,2,0,0,General Training
97,122,16.17,79.51,51,13,0,1,0,Fundamentals and Basics
55,141,18.33,39.01,22,6,0,0,0,General Training
13,22,3.25,59.09,7,1,0,0,0,General Training
591,500,26.86,118.2,103,50,15,3,1,Power Hitting Skills
9,20,9,45,9,0,0,0,0,General Training
184,265,36.8,69.43,83,21,0,1,0,Consistent Batting Techniques
259,360,23.55,71.94,63,11,8,1,0,General Training
290,341,32.22,85.04,97,19,8,2,0,Power Hitting Skills
1034,1173,44.96,88.15,121,88,6,6,3,Advanced Scoring Strategies
74,89,12.33,83.15,15,9,0,0,0,Fundamentals and Basics
147,138,36.75,106.52,34,9,5,0,0,General Training
158,243,31.6,65.02,121,11,4,0,1,Consistent Batting Techniques
132,200,13.2,66,33,15,0,0,0,Fundamentals and Basics
55,88,13.75,62.5,26,5,0,0,0,General Training
773,976,45.47,79.2,128,66,9,5,1,Experience and Control
19,30,19,63.33,16,1,0,0,0,General Training
3,19,1.5,15.79,3,0,0,0,0,General Training
7,19,7,36.84,7,0,0,0,0,General Training
443,384,63.29,115.36,153,51,12,4,1,Advanced Scoring Strategies
13,33,4.33,39.39,9,2,0,0,0,General Training
56,123,9.33,45.53,22,5,1,0,0,General Training
113,160,37.67,70.62,50,13,1,1,0,Consistent Batting Techniques
15,42,3,35.71,8,1,0,0,0,General Training
747,816,37.35,91.54,111,95,14,4,2,Advanced Scoring Strategies
340,308,26.15,110.39,111,41,13,2,1,Power Hitting Skills
26,76,13,34.21,22,1,0,0,0,General Training
74,149,24.67,49.66,49,5,2,0,0,General Training
40,51,13.33,78.43,26,5,0,0,0,General Training
6,4,0,150,6,1,0,0,0,General Training
2,6,2,33.33,2,0,0,0,0,General Training
0,2,0,0,0,0,0,0,0,General Training
325,294,32.5,110.54,57,28,17,3,0,Power Hitting Skills
10,24,10,41.67,9,0,1,0,0,General Training
12,11,6,109.09,11,0,0,0,0,General Training
212,338,26.5,62.72,115,22,2,0,1,General Training
458,461,35.23,99.35,115,31,9,1,1,Power Hitting Skills
44,25,14.67,176,21,6,2,0,0,General Training
159,168,19.88,94.64,58,17,3,1,0,General Training
35,60,17.5,58.33,26,5,0,0,0,General Training
4,5,2,80,2,0,0,0,0,General Training
34,39,34,87.18,34,2,1,0,0,General Training
114,159,19,71.7,37,11,1,0,0,Fundamentals and Basics
91,204,15.17,44.61,31,9,1,0,0,General Training
149,168,37.25,88.69,98,12,3,1,0,General Training
6,22,2,27.27,3,0,0,0,0,General Training
83,115,16.6,72.17,31,4,3,0,0,General Training
18,41,18,43.9,18,2,0,0,0,General Training
17,17,17,100,17,1,1,0,0,General Training
59,80,19.67,73.75,40,7,1,0,0,Fundamentals and Basics
190,137,27.14,138.69,94,15,11,2,0,Power Hitting Skills
6,11,3,54.55,6,0,1,0,0,General Training
47,106,11.75,44.34,16,5,1,0,0,General Training
249,352,27.67,70.74,55,34,0,1,0,Fundamentals and Basics
0,3,0,0,0,0,0,0,0,General Training
1532,1770,56.74,86.55,124,147,14,7,5,Advanced Scoring Strategies
14,34,7,41.18,8,2,0,0,0,General Training
7,3,0,233.33,7,1,0,0,0,General Training
0,2,0,0,0,0,0,0,0,General Training
35,64,17.5,54.69,23,2,1,0,0,General Training
85,196,28.33,43.37,35,10,0,0,0,General Training
39,66,13,59.09,22,4,1,0,0,General Training
155,212,25.83,73.11,45,15,1,0,0,Fundamentals and Basics
288,338,36,85.21,108,19,11,1,1,Power Hitting Skills
12,19,12,63.16,12,2,0,0,0,General Training
253,282,42.17,89.72,156,33,4,1,1,General Training
